code,description
540781,"Fabrics, woven: of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, bleached or unbleached"
540782,"Fabrics, woven: of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, dyed"
540783,"Fabrics, woven: of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, of yarns of different colours"
550952,"Yarn: (not sewing thread), of polyester staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale"
550953,"Yarn: (not sewing thread), of polyester staple fibres, mixed mainly or solely with cotton, not put up for retail sale"
550961,"Yarn: (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale"
550962,"Yarn: (not sewing thread), of acrylic or modacrylic staple fibres, mixed mainly or solely with cotton, not put up for retail sale"
550991,"Yarn: (not sewing thread), of synthetic staple fibres, mixed mainly or solely with wool or fine animal hair, n.e.s. in heading no. 5509, not put up for retail sale"
550992,"Yarn: (not sewing thread), of synthetic staple fibres, mixed mainly or solely with cotton, n.e.s. in heading no. 5509, not put up for retail sale"
550999,"Yarn: (not sewing thread), of synthetic staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), n.e.s. in heading no. 5509, not put up for retail sale"
551020,"Yarn: (not sewing thread), of artificial staple fibres, mixed mainly or solely with wool or fine animal hair, not put up for retail sale"
551030,"Yarn: (not sewing thread), of artificial staple fibres, mixed mainly or solely with cotton, not put up for retail sale"
551090,"Yarn: (not sewing thread), of artificial staple fibres, mixed mainly or solely with fibres (other than wool, fine animal hair or cotton), not put up for retail sale"
551311,"Fabrics, woven: plain weave, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m2, unbleached or bleached"
551312,"Fabrics, woven: 3-thread or 4-thread twill, of polyester staple fibres, containing less than 85% by weight of such, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached"
551313,"Fabrics, woven: of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached"
551319,"Fabrics, woven: containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached"
551321,"Fabrics, woven: plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2"
551322,"Fabrics, woven: 3- or 4-thread twill, including cross twill, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2"
551323,"Fabrics, woven: dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2"
551329,"Fabrics, woven: dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2"
551331,"Fabrics, woven: plain weave, of yarns of different colours, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2"
551332,"Fabrics, woven: 3- or 4-thread twill, including cross twill, of yarns of different colours, less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2"
551333,"Fabrics, woven: of yarns of different colours, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2, n.e.s. in heading no. 5513"
551339,"Fabrics, woven: of yarns of different colours, containing less than 85% of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2"
551341,"Fabrics, woven: plain weave, printed, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2"
551342,"Fabrics, woven: 3- or 4-thread twill, including cross twill, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2"
551343,"Fabrics, woven: printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2, n.e.s. in heading no. 5513"
551349,"Fabrics, woven: printed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2"
551411,"Fabrics, woven: plain weave, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2"
551412,"Fabrics, woven: 3- or 4-thread twill, including cross twill, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, over 170g/m2"
551413,"Fabrics, woven: unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2, n.e.s. in heading no. 5514"
551419,"Fabrics, woven: unbleached or bleached, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2"
551421,"Fabrics, woven: plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2"
551422,"Fabrics, woven: 3- or 4-thread twill, including cross twill, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2"
551423,"Fabrics, woven: dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2, n.e.s. in  heading no. 5514"
551429,"Fabrics, woven: dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2"
551431,"Fabrics, woven: plain weave, of yarns of different colours, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2"
551432,"Fabrics, woven: 3- or 4-thread twill, including cross twill, of yarns of different colours, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2"
551433,"Fabrics, woven: of yarns of different colours, of polyester staple fibres, containing less than 85% by weight of such, mixed mainly or solely with cotton, over 170g/m2, n.e.s. in heading no. 5514"
551439,"Fabrics, woven: of yarns of different colours, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2"
551441,"Fabrics, woven: plain weave, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2"
551442,"Fabrics, woven: 3- or 4-thread twill, including cross twill, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2"
551443,"Fabrics, woven: printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, weight exceeding 170g/m2, n.e.s. in heading no. 5514"
551449,"Fabrics, woven: printed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2"
551513,"Fabrics, woven: of polyester staple fibres n.e.s. in chapter 55, mixed mainly or solely with wool or fine animal hair"
551522,"Fabrics, woven: of acrylic or modacrylic staple fibres n.e.s. in chapter 55, mixed mainly or solely with wool or fine animal hair"
551592,"Fabrics, woven: of synthetic staple fibres n.e.s. in chapter 55, mixed mainly or solely with wool or fine animal hair"
551631,"Fabrics, woven: unbleached or bleached, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with wool or fine animal hair"
551632,"Fabrics, woven: dyed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with wool or fine animal hair"
551633,"Fabrics, woven: of yarns of different colours, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with wool or fine animal hair"
551634,"Fabrics, woven: printed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with wool or fine animal hair"
551641,"Fabrics, woven: unbleached or bleached, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton"
551642,"Fabrics, woven: dyed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton"
551643,"Fabrics, woven: of yarns of different colours, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton"
551644,"Fabrics, woven: printed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton"
560121,"Wadding: other articles thereof, of cotton"
560129,"Wadding: other articles thereof, other than of cotton or man-made fibres"
560221,"Felt: of wool or fine animal hair (excluding needleloom felt or stitch-bonded fibre fabrics), not impregnated, coated, covered nor laminated"
560229,"Felt: of textile materials other than wool or fine animal hair (excluding needleloom felt and stitch-bonded fibre fabrics), not impregnated, coated, covered or laminated"
570110,"Carpets and other textile floor coverings: knotted, of wool or fine animal hair, whether or not made up"
570190,"Carpets and other textile floor coverings: knotted, of textile materials (other than wool or fine animal hair), whether or not made up"
570231,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of wool or fine animal hair, of pile construction, not made up, n.e.s. in item no. 5702.10 or 5702.20"
570232,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of man-made textile materials, of pile construction, not made up, n.e.s. in item no. 5702.10 or 5702.20"
570239,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of textile materials (other than man-made, wool or fine animal hair), of pile construction, not made up, n.e.s. in item no. 5702.10 or 5702.20"
570241,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of wool or fine animal hair, of pile construction, made up, n.e.s. in item no. 5702.10 or 5702.20"
570242,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of man-made textile materials, of pile construction, made up, n.e.s. in item no. 5702.10 or 5702.20"
570249,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of textile materials (other than man-made, wool or fine animal hair), of pile construction, made up, n.e.s. in item no. 5702.10 or 5702.20"
570251,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of wool or fine animal hair, not of pile construction, not made up, n.e.s. in item no. 5702.10 or 5702.20"
570259,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of textile materials (other than man-made or wool or fine animal hair), not of pile construction, not made up, n.e.s. in item no. 5702.10 or 5702.20"
570291,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of wool or fine animal hair, (not of pile construction), made up, n.e.s. in item no. 5702.10 or 5702.20"
570299,"Carpets and other textile floor coverings: woven, (not tufted or flocked), of textile materials (other than man-made or wool or fine animal hair, not of pile construction), made up, n.e.s. in item no. 5702.10 or 5702.20"
570310,"Carpets and other textile floor coverings: tufted, of wool or fine animal hair, whether or not made up"
570320,"Carpets and other textile floor coverings: tufted, of nylon or other polyamides, whether or not made up"
570330,"Carpets and other textile floor coverings: tufted, of man-made textile materials (other than polyamides), whether or not made up"
570390,"Carpets and other textile floor coverings: tufted, of textile materials (other than man-made, wool or fine animal hair), whether or not made up"
580110,"Fabrics: woven pile, of wool or fine animal hair, other than fabrics of heading no. 5802 or 5806"
580121,"Fabrics: woven pile, of cotton, uncut weft pile fabrics, other than fabrics of heading no. 5802 or 5806"
580122,"Fabrics: woven pile, of cotton, cut corduroy, other than fabrics of heading no. 5802 or 5806"
580123,"Fabrics: woven pile, of cotton, weft pile fabrics other than uncut and corduroy, other than fabrics of heading no. 5802 or 5806"
580124,"Fabrics: woven pile, of cotton, warp pile fabrics, epingle (uncut), other than fabrics of heading no. 5802 or 5806"
580125,"Fabrics: woven pile, of cotton, warp pile fabrics, cut, other than fabrics of heading no. 5802 or 5806"
580126,"Fabrics: chenille, of cotton, other than fabrics of heading no. 5802 or 5806"
580211,"Fabrics: terry towelling and similar woven terry fabrics, of cotton, unbleached, excluding narrow fabrics of heading no. 5806"
580219,"Fabrics: terry towelling and similar woven terry fabrics, of cotton, bleached, excluding narrow fabrics of heading no. 5806"
580220,"Fabrics: terry towelling and similar woven terry fabrics, of textile materials, excluding cotton, excluding narrow fabrics of heading no. 5806"
580310,"Gauze: of cotton, other than narrow fabrics of heading no. 5806"
580390,"Gauze: of textile materials other than cotton, (excluding narrow fabrics of heading no. 5806)"
580631,"Fabrics: narrow woven fabrics, n.e.s. in heading no. 5806, of cotton (excluding goods of heading no. 5807)"
581091,"Embroidery: with visible ground, of cotton, in the piece, in strips or in motifs"
581099,"Embroidery: with visible ground, of textile materials (other than cotton and man-made fibres), in the piece, in strips or in motifs"
600121,"Fabrics: looped pile fabrics, of cotton, knitted or crocheted"
600129,"Fabrics: looped pile fabrics, of textile materials (other than cotton or man-made fibres), knitted or crocheted"
600191,"Fabrics: pile fabrics (excluding ""long pile"" and loop pile), of cotton, knitted or crocheted"
600199,"Fabrics: pile fabrics (excluding ""long pile"" and loop pile), of textile materials (other than cotton or man-made fibres), knitted or crocheted"
600220,"Fabrics: knitted or crocheted (excluding pile fabrics), 30cm or less wide"
600241,"Fabrics: warp knit, (including those made on galloon knitting machines, excluding pile fabrics), of wool or fine animal hair"
600242,"Fabrics: warp knit, (including those made on galloon knitting machines, excluding pile fabrics), of cotton"
600291,"Fabrics: knitted or crocheted (excluding pile fabrics and warp knit), of wool or fine animal hair"
600292,"Fabrics: knitted or crocheted (excluding pile fabrics and warp knit), of cotton"
610110,"Coats: men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of wool or fine animal hair, knitted or crocheted (excluding those of heading no. 6103)"
610120,"Coats: men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of cotton, knitted or crocheted (excluding those of heading no. 6103)"
610210,"Coats: women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of wool or fine animal hair, knitted or crocheted (excluding those of heading no. 6104)"
610220,"Coats: women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of cotton, knitted or crocheted (excluding those of heading no. 6104)"
610311,"Suits: men's or boys', of wool or fine animal hair, knitted or crocheted"
610319,"Suits: men's or boys', of textile materials (other than wool, fine animal hair or synthetic fibres), knitted or crocheted"
610321,"Ensembles: men's or boys', of wool or fine animal hair, knitted or crocheted"
610322,"Ensembles: men's or boys', of cotton, knitted or crocheted"
610329,"Ensembles: men's or boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
610331,"Jackets and blazers: men's or boys', of wool or fine animal hair, knitted or crocheted"
610332,"Jackets and blazers: men's or boys', of cotton, knitted or crocheted"
610339,"Jackets and blazers: men's or boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
610341,"Trousers, bib and brace overalls, breeches and shorts: men's or boys', of wool or fine animal hair, knitted or crocheted"
610342,"Trousers, bib and brace overalls, breeches and shorts: men's or boys', of cotton, knitted or crocheted"
610349,"Trousers, bib and brace overalls, breeches and shorts: men's or boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
610411,"Suits: women's or girls', of wool or fine animal hair, knitted or crocheted"
610412,"Suits: women's or girls', of cotton, knitted or crocheted"
610419,"Suits: women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
610421,"Ensembles: women's or girls', of wool or fine animal hair, knitted or crocheted"
610422,"Ensembles: women's or girls', of cotton, knitted or crocheted"
610429,"Ensembles: women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
610431,"Jackets: women's or girls', of wool or fine animal hair, knitted or crocheted"
610432,"Jackets: women's or girls', of cotton, knitted or crocheted"
610439,"Jackets: women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
610441,"Dresses: women's or girls', of wool or fine animal hair, knitted or crocheted"
610442,"Dresses: women's or girls', of cotton, knitted or crocheted"
610449,"Dresses: women's or girls', of textile materials (other than wool or fine animal hair, cotton, synthetic or artificial fibres), knitted or crocheted"
610451,"Skirts and divided skirts: women's or girls', of wool or fine animal hair, knitted or crocheted"
610452,"Skirts and divided skirts: women's or girls', of cotton, knitted or crocheted"
610459,"Skirts and divided skirts: women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
610461,"Trousers, bib and brace overalls, breeches and shorts: women's or girls', of wool or fine animal hair, knitted or crocheted"
610462,"Trousers, bib and brace overalls, breeches and shorts: women's or girls', of cotton, knitted or crocheted"
610469,"Trousers, bib and brace overalls, breeches and shorts: women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
610510,"Shirts: men's or boys', of cotton, knitted or crocheted"
610590,"Shirts: men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
610610,"Blouses, shirts and shirt-blouses: women's or girls', of cotton, knitted or crocheted"
610690,"Blouses, shirts and shirt-blouses: women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
610711,"Underpants and briefs: men's or boys', of cotton, knitted or crocheted"
610719,"Underpants and briefs: men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
610721,"Nightshirts and pyjamas: men's or boys', of cotton, knitted or crocheted"
610729,"Nightshirts and pyjamas: men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
610791,"Bathrobes, dressing gowns and similar articles: men's or boys', of cotton, knitted or crocheted"
610799,"Bathrobes, dressing gowns and similar articles: men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
610821,"Briefs and panties: women's or girls', of cotton, knitted or crocheted"
610829,"Briefs and panties: women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
610831,"Nightdresses and pyjamas: women's or girls', of cotton, knitted or crocheted"
610839,"Nightdresses and pyjamas: women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
610891,"Negligees, bathrobes, dressing gowns and similar articles: women's or girls', of cotton, knitted or crocheted"
610899,"Negligees, bathrobes, dressing gowns and similar articles: women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted"
610910,"T-shirts, singlets and other vests: of cotton, knitted or crocheted"
610990,"T-shirts, singlets and other vests: of textile materials (other than cotton), knitted or crocheted"
611010,"Jerseys, pullovers, cardigans, waistcoats and similar articles: of wool or fine animal hair, knitted or crocheted"
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles: of cotton, knitted or crocheted"
611090,"Jerseys, pullovers, cardigans, waistcoats and similar articles: of textile materials (other than wool or fine animal hair, cotton or man-made fibres), knitted or crocheted"
611110,"Garments and clothing accessories: babies', of wool or fine animal hair, knitted or crocheted"
611120,"Garments and clothing accessories: babies', of cotton, knitted or crocheted"
611190,"Garments and clothing accessories: babies', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted"
611211,"Track suits: of cotton, knitted or crocheted"
611219,"Track suits: of textile materials (other than cotton or synthetic fibres), knitted or crocheted"
611410,"Garments: of wool or fine animal hair, knitted or crocheted, n.e.s. in chapter 61"
611420,"Garments: of cotton, knitted or crocheted, n.e.s. in chapter 61"
611490,"Garments: of textile materials (other than wool or fine animal hair, cotton or man-made fibres), knitted or crocheted, n.e.s. in chapter 61"
611591,"Hosiery and footwear: without applied soles, of wool or fine animal hair, knitted or crocheted (excluding tights, women's full or knee-length hosiery measuring per single yarn less than 67 decitex)"
611592,"Hosiery and footwear: without applied soles, of cotton, knitted or crocheted (excluding panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex)"
611691,"Gloves, mittens and mitts: of wool or fine animal hair, knitted or crocheted, (other than impregnated, coated or covered with plastics or rubber)"
611692,"Gloves, mittens and mitts: of cotton, knitted or crocheted, (other than impregnated, coated or covered with plastics or rubber)"
611699,"Gloves, mittens and mitts: of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted, (other than impregnated, coated or covered with plastics or rubber)"
620111,"Coats: men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of wool or fine animal hair, other than those of heading no. 6203 (not knitted or crocheted)"
620112,"Coats: men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of cotton, other than those of heading no. 6203 (not knitted or crocheted)"
620119,"Coats: men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of textile materials (other than wool or fine animal hair, cotton or man-made fibres), other than those of heading no. 6203 (not knitted or crocheted)"
620191,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: men's or boys', of wool or fine animal hair, other than those of heading no. 6203 (not knitted or crocheted)"
620192,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: men's or boys', of cotton, other than those of heading no. 6203 (not knitted or crocheted)"
620199,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: men's or boys', of textile materials (other than wool or fine animal hair, cotton or man-made fibres), other than those of heading no. 6203 (not knitted or crocheted)"
620211,"Coats: women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of wool or fine animal hair, other than those of heading no. 6204 (not knitted or crocheted)"
620212,"Coats: women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of cotton, other than those of heading no. 6204 (not knitted or crocheted)"
620219,"Coats: women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of textile materials (other than wool or fine animal hair, cotton or man-made fibres), other than those of heading no. 6204 (not knitted or crocheted)"
620291,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: women's or girls', of wool or fine animal hair, other than those of heading no. 6204 (not knitted or crocheted)"
620292,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: women's or girls', of cotton, other than those of heading no. 6204 (not knitted or crocheted)"
620311,"Suits: men's or boys', of wool or fine animal hair (not knitted or crocheted)"
620321,"Ensembles: men's or boys', of wool or fine animal hair (not knitted or crocheted)"
620322,"Ensembles: men's or boys', of cotton (not knitted or crocheted)"
620329,"Ensembles: men's or boys', of textile materials n.e.s. in item no. 6203.2 (not knitted or crocheted)"
620331,"Jackets and blazers: men's or boys', of wool or fine animal hair (not knitted or crocheted)"
620332,"Jackets and blazers: men's or boys', of cotton (not knitted or crocheted)"
620341,"Trousers, bib and brace overalls, breeches and shorts: men's or boys', of wool or fine animal hair (not knitted or crocheted)"
620342,"Trousers, bib and brace overalls, breeches and shorts: men's or boys', of cotton (not knitted or crocheted)"
620349,"Trousers, bib and brace overalls, breeches and shorts: men's or boys', of textile materials (other than wool, fine animal hair, cotton or synthetic fibres), (not knitted or crocheted)"
620411,"Suits: women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620412,"Suits: women's or girls', of cotton (not knitted or crocheted)"
620421,"Ensembles: women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620422,"Ensembles: women's or girls', of cotton (not knitted or crocheted)"
620431,"Jackets and blazers: women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620432,"Jackets and blazers: women's or girls', of cotton (not knitted or crocheted)"
620441,"Dresses: women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620442,"Dresses: women's or girls', of cotton (not knitted or crocheted)"
620451,"Skirts and divided skirts: women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620452,"Skirts and divided skirts: women's or girls', of cotton (not knitted or crocheted)"
620461,"Trousers, bib and brace overalls, breeches and shorts: women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620462,"Trousers, bib and brace overalls, breeches and shorts: women's or girls', of cotton (not knitted or crocheted)"
620469,"Trousers, bib and brace overalls, breeches and shorts: women's or girls', of textile materials (other than wool, fine animal hair, cotton or synthetic fibres), (not knitted or crocheted)"
620510,"Shirts: men's or boys', of wool or fine animal hair (not knitted or crocheted)"
620520,"Shirts: men's or boys', of cotton (not knitted or crocheted)"
620620,"Blouses, shirts and shirt-blouses: women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620630,"Blouses, shirts and shirt-blouses: women's or girls', of cotton (not knitted or crocheted)"
620711,"Underpants and briefs: men's or boys', of cotton (not knitted or crocheted)"
620719,"Underpants and briefs: men's or boys', of textile materials other than cotton (not knitted or crocheted)"
620721,"Nightshirts and pyjamas: men's or boys', of cotton (not knitted or crocheted)"
620729,"Nightshirts and pyjamas: men's or boys', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
620791,"Singlets and other vests, bathrobes, dressing gowns and similar articles: men's or boys', of cotton (not knitted or crocheted)"
620799,"Singlets and other vests, bathrobes, dressing gowns and similar articles: men's or boys', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
620821,"Nightdresses and pyjamas: women's or girls', of cotton (not knitted or crocheted)"
620829,"Nightdresses and pyjamas: women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
620891,"Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles: women's or girls', of cotton (not knitted or crocheted)"
620899,"Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles: women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
620910,"Garments and clothing accessories: babies', of wool or fine animal hair (not knitted or crocheted)"
620920,"Garments and clothing accessories: babies', of cotton (not knitted or crocheted)"
620990,"Garments and clothing accessories: babies', of textile materials other than wool or fine animal hair, cotton or synthetic fibres (not knitted or crocheted)"
621131,"Track suits and other garments n.e.s.: men's or boys', of wool or fine animal hair (not knitted or crocheted)"
621132,"Track suits and other garments n.e.s.: men's or boys', of cotton (not knitted or crocheted)"
621141,"Track suits and other garments n.e.s.: women's or girls', of wool or fine animal hair (not knitted or crocheted)"
621142,"Track suits and other garments n.e.s.: women's or girls', of cotton (not knitted or crocheted)"
621210,Brassieres: whether or not knitted or crocheted
621320,Handkerchiefs: of cotton (not knitted or crocheted)
621390,Handkerchiefs: of textile materials other than silk or cotton (not knitted or crocheted)
621420,"Shawls, scarves, mufflers, mantillas, veils and the like: of wool or fine animal hair (not knitted or crocheted)"
630120,Blankets (other than electric blankets) and travelling rugs: of wool or fine animal hair
630130,Blankets (other than electric blankets) and travelling rugs: of cotton
630140,Blankets (other than electric blankets) and travelling rugs: of synthetic fibres
630190,Blankets and travelling rugs: n.e.s. in heading no. 6301
630221,"Bed linen: of cotton, printed, not knitted or crocheted"
630229,"Bed linen: of textile materials (other than cotton or man-made fibres), printed, not knitted or crocheted"
630231,"Bed linen: of cotton (not printed, knitted or crocheted)"
630239,"Bed linen: of textile materials other than cotton or man-made fibres (not printed, knitted or crocheted)"
630251,"Table linen: of cotton, not knitted or crocheted"
630259,"Table linen: of textile materials (other than cotton, flax or man-made fibres), not knitted or crocheted"
630260,"Kitchen and toilet linen: of terry towelling or similar terry fabrics, of cotton"
630291,"Toilet and kitchen linen: of cotton, excluding terry towelling or similar terry fabrics"
630299,"Toilet and kitchen linen: of textile materials (other than cotton, flax or man-made fibres)"
630311,"Curtains (including drapes) and interior blinds: curtain or bed valances, knitted or crocheted, of cotton"
630319,"Curtains (including drapes) and interior blinds: curtain or bed valances, knitted or crocheted, of textile materials other than cotton or synthetic fibres"
630391,"Curtains (including drapes) and interior blinds, curtain or bed valances: of cotton, not knitted or crocheted"
630399,"Curtains (including drapes) and interior blinds, curtain or bed valances: of textile materials other than cotton or synthetic fibres, not knitted or crocheted"
630419,Bedspreads: not knitted or crocheted
630492,"Furnishing articles: of cotton, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404)"
630499,"Furnishing articles: of textile materials other than cotton or synthetic fibres, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404)"
630520,"Sacks and bags: of a kind used for the packing of goods, of cotton"
630590,"Sacks and bags: of a kind used for the packing of goods, of textile materials (other than jute, cotton or man-made textile materials)"
630611,"Tarpaulins, awnings and sunblinds: of cotton"
630619,"Tarpaulins, awnings and sunblinds: of textile materials other than cotton or synthetic fibres"
630621,Tents: of cotton
630629,Tents: of textile materials other than cotton or synthetic fibres
630641,Pneumatic mattresses: of cotton
630649,Pneumatic mattresses: of textile materials other than cotton
630691,"Sailboards, landcraft or camping goods: of cotton"
630699,"Sailboards, landcraft or camping goods: of textile materials other than cotton"
631090,"Rags: used or new, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials: other than sorted"
670300,"Human hair, dressed, thinned, bleached or otherwise worked: wool or other animal hair or other textile materials, prepared for use in making wigs or the like"
680610,"Slag wool, rock wool and similar mineral wools (including intermixtures thereof), in bulk, sheets or rolls"
690220,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods: containing by weight more than 50% of alumina (Al2o3), of silica (SiO2) or of a mixture or compound of these"
