code,description
690320,"Refractory ceramic goods: containing by weight more than 50% of alumina or of a mixture or compound of alumina and of silica, excluding those of siliceous fossil meals or similar earths"
701910,"Glass fibres (including glass wool): slivers, rovings, yarn and chopped strands"
720260,Ferro-alloys: ferro-nickel
721060,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with aluminium"
721810,"Steel, stainless: ingots and other primary forms"
721890,"Steel, stainless: semi-finished products"
721911,"Steel, stainless: flat-rolled, width 600mm or more, hot-rolled, in coils, of a thickness exceeding 10mm"
721922,"Steel, stainless: flat-rolled, width 600mm or more, hot-rolled, (not in coils), of a thickness of 4.75mm or more but not exceeding 10mm"
721932,"Steel, stainless: flat-rolled, width 600mm or more, cold-rolled, of a thickness of 3mm or more but less than 4.75mm"
721990,"Steel, stainless: flat-rolled, width 600mm or more, n.e.s. in heading no. 7219"
722011,"Steel, stainless: flat-rolled, width less than 600mm, hot-rolled, of a thickness of 4.75mm or more"
722020,"Steel, stainless: flat-rolled, width less than 600mm, cold-rolled"
722090,"Steel, stainless: flat-rolled, width less than 600mm, nes in heading no 7220"
732310,"Iron or steel: wool, pot scourers and scouring or polishing pads, gloves and the like"
740323,Copper: copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver) unwrought
740722,"Copper: bars, rods and profiles, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
740729,"Copper: bars, rods and profiles, of copper alloys, (other than copper-zinc base alloys, copper-nickel base alloys or copper-nickel-zinc base alloys)"
740822,"Copper: wire, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
740829,"Copper: wire, of copper alloys (other than copper-zinc base alloys, copper-nickel base alloys or copper-nickel-zinc base alloys)"
740940,"Copper: plates, sheets and strip, of a thickness exceeding 0.15mm, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
740990,"Copper: plates, sheets and strip, of a thickness exceeding 0.15mm, of copper alloys (other than copper-zinc base alloys, copper-tin base alloys, copper-nickel base alloys or copper-nickel-zinc base alloys)"
741122,"Copper: tubes and pipes, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
741129,"Copper: tubes and pipes, of copper alloys (other than copper-zinc, copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel-silver))"
750110,Nickel: nickel mattes
750120,Nickel: oxide sinters and other intermediate products of nickel metallurgy
750210,"Nickel: unwrought, not alloyed"
750220,"Nickel: unwrought, alloys"
750300,Nickel: waste and scrap
750400,Nickel: powders and flakes
750511,"Nickel: bars, rods and profiles, not alloyed"
750512,"Nickel: bars, rods and profiles, of nickel alloys"
750521,"Nickel: wire, not alloyed"
750522,"Nickel: wire, of nickel alloys"
750610,"Nickel: plates, sheets, strip and foil, not alloyed"
750620,"Nickel: plates, sheets, strip and foil, of nickel alloys"
750711,"Nickel: tubes and pipes, not alloyed"
750712,"Nickel: tubes and pipes, of nickel alloys"
750720,Nickel: tube and pipe fittings
750800,Nickel: other articles thereof n.e.s.
760110,"Aluminium: unwrought, (not alloyed)"
760120,"Aluminium: unwrought, alloys"
760200,Aluminium: waste and scrap
760310,Aluminium: powders of non-lamellar structure
760320,"Aluminium: powders of lamellar structure, flakes"
760410,"Aluminium: (not alloyed), bars, rods and profiles"
760421,"Aluminium: alloys, hollow profiles"
760429,"Aluminium: alloys, bars, rods and profiles, other than hollow"
760511,"Aluminium: (not alloyed), wire, maximum cross-sectional dimension exceeds 7mm"
760519,"Aluminium: (not alloyed), wire, maximum cross-sectional dimension is 7mm or less"
760521,"Aluminium: alloys, wire, maximum cross-sectional dimension exceeding 7mm"
760529,"Aluminium: alloys, wire, maximum cross-sectional dimension is 7mm or less"
760611,"Aluminium: plates, sheets and strip, thickness exceeding 0.2mm, (not alloyed), rectangular (including square)"
760612,"Aluminium: plates, sheets and strip, thickness exceeding 0.2mm, alloys, rectangular (including square)"
760691,"Aluminium: plates, sheets and strip, thickness exceeding 0.2mm, not alloyed, (not rectangular or square)"
760692,"Aluminium: plates, sheets and strip, thickness exceeding 0.2mm, alloys, (not rectangular or square)"
760711,"Aluminium: foil, (not backed), rolled (but not further worked), of a thickness not exceeding 0.2mm"
760719,"Aluminium: foil, (not backed), of a thickness not exceeding 0.2mm, not rolled"
760720,"Aluminium: foil, backed with paper, paperboard, plastics or similar backing materials, of a thickness (excluding any backing) not exceeding 0.2mm"
760810,"Aluminium: tubes and pipes, not alloyed"
760820,"Aluminium: tubes and pipes, alloys"
760900,"Aluminium: tube or pipe fittings (eg couplings, elbows, sleeves)"
761010,"Aluminium: structures (excluding prefabricated buildings of heading no. 9406) and parts of structures, doors, windows and their frames and thresholds for doors"
761090,"Aluminium: structures (excluding prefabricated buildings of heading no. 9406) and parts of structures, n.e.s. in heading no. 7610, plates, rods, profiles, tubes and the like"
761100,"Aluminium: reservoirs, tanks, vats and similar containers, for material (not compressed or liquefied gas), of a capacity over 300l, whether or not lined, not fitted with mechanical/thermal equipment"
761210,"Aluminium: collapsible tubular containers, for any material, (not compressed or liquefied gas), 300l capacity or less, whether or not lined, not fitted with mechanical/thermal equipment"
761290,"Aluminium: casks, drums, cans, boxes and the like for any material (not compressed or liquefied gas), 300l capacity or less, whether or not lined or heat-insulated, no mechanical or thermal equipment"
761300,Aluminium: containers for compressed or liquefied gas
761410,"Aluminium: stranded wire, cables, plaited bands and the like, (not electrically insulated), with steel core"
761490,"Aluminium: stranded wire, cables, plaited bands and the like, (not electrically insulated), other than steel core"
761510,"Aluminium: table, kitchen or other household articles and parts thereof, pot scourers and scouring or polishing pads, gloves and the like"
761520,Aluminium: sanitary ware and parts thereof
761610,"Aluminium: nails, tacks, staples (other than those of heading no. 8305) screws, bolts, nuts, screw hooks, rivets, cotters, cotter-pins, washers and similar articles"
761690,Aluminium: articles n.e.s. in heading no. 7616
843820,"Machinery: industrial, for the manufacture of confectionery, cocoa or chocolate"
850730,"Electric accumulators: nickel-cadmium, including separators, whether or not rectangular (including square)"
850740,"Electric accumulators: nickel-iron, including separators, whether or not rectangular (including square)"
853222,"Electrical capacitors: fixed, aluminium electrolytic"
